case_id,example_id,word_index,input_context,gold_label,predicted_label,error_type,cause,suggested_fix
1,test_000001,109,"… sách báo thấy mình giống sỏi **thận**[gold=COMMA',' pred=O''] trong khi bs bảo bình thường. …",COMMA,O,Bỏ sót dấu phẩy,bỏ sót dấu phẩy — hai mệnh đề bị dính vào nhau,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
2,test_000002,82,"… đến viêm thận mãn hoặc suy **thận**[gold=COMMA',' pred=O''] gây nguy hiểm và điều trị …",COMMA,O,Bỏ sót dấu phẩy,bỏ sót dấu phẩy — hai mệnh đề bị dính vào nhau,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
3,test_000003,87,"… gối lành lại. trong giai đoạn **này**[gold=COMMA',' pred=O''] bạn cần khám chuyên khoa để …",COMMA,O,Bỏ sót dấu phẩy,bỏ sót dấu phẩy — hai mệnh đề bị dính vào nhau,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
4,test_000004,68,"… hỏi cũng không nói. mặt ngơ **ngác**[gold=COMMA',' pred=O''] khóc, đi qua đi lại. nhưng …",COMMA,O,Bỏ sót dấu phẩy,bỏ sót dấu phẩy — hai mệnh đề bị dính vào nhau,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
5,test_000004,69,"… cũng không nói. mặt ngơ ngác, **khóc**[gold=COMMA',' pred=O''] đi qua đi lại. nhưng sau …",COMMA,O,Bỏ sót dấu phẩy,bỏ sót dấu phẩy — hai mệnh đề bị dính vào nhau,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
6,test_000002,30,"… nhưng nếu bị viêm đường tiết **niệu**[gold=O'' pred=COMMA','] bạn nên đi làm xét nghiệm …",O,COMMA,Dấu phẩy / câu liệt kê,thêm dấu phẩy thừa — chèn ranh giới mệnh đề không có thật,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
7,test_000005,20,"… ích mẫu thì xuống được 40 **ngày**[gold=O'' pred=COMMA','] nhưng dừng thuốc thì lại dài …",O,COMMA,Dấu phẩy / câu liệt kê,thêm dấu phẩy thừa — chèn ranh giới mệnh đề không có thật,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
8,test_000006,127,"… những người có cơ địa dị **ứng**[gold=O'' pred=COMMA','] điều trị hết là khó khăn.",O,COMMA,Dấu phẩy / câu liệt kê,thêm dấu phẩy thừa — chèn ranh giới mệnh đề không có thật,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
9,test_000007,52,"… em tăng cường chế độ dinh **dường**[gold=O'' pred=COMMA','] kết hợp chế độ thể dục …",O,COMMA,Dấu phẩy / câu liệt kê,thêm dấu phẩy thừa — chèn ranh giới mệnh đề không có thật,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
10,test_000008,15,"… bởi 2 cách qua đường hô **hấp**[gold=O'' pred=COMMA','] ngoài ra, bạch hầu có thể …",O,COMMA,Dấu phẩy / câu liệt kê,thêm dấu phẩy thừa — chèn ranh giới mệnh đề không có thật,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
