id,source_split,text,tokens,labels,is_correct,review_note
test_001695,test,"E đăng ký khám ngay để bs tư vấn cho mình nhé, chứ ko để tình trạng tự hại bản thân kéo dài đc e đăng ký khám online với chị trong mục bác sỹ ơi. Nhập mã voucher để đc miễn phí khám và tư vấn nhé hiện tại mình vừa tiêm vacxin astrazeneca. Đến ngày thứ 4 bị nổi vài vết mẫn ngứa ở tay. Không biết có nguy hiểm không? Và xử lý như thế nào? Chỉ giúp mình với. Chào bạn, theo hướng dẫn tự theo dõi sức khỏe sau tiêm vaccine phòng covid 19 của bộ y tế nếu trên da thấy có phát ban hoặc nổi mẩn đỏ hoặc tím tái hoặc đỏ da hoặc chảy máu, xuất huyết dưới da thì cần liên hệ với đội cấp cứu lưu động hoặc đến thẳng các bệnh viện để được thăm khám và xử trí.",e đăng ký khám ngay để bs tư vấn cho mình nhé chứ ko để tình trạng tự hại bản thân kéo dài đc e đăng ký khám online với chị trong mục bác sỹ ơi nhập mã voucher để đc miễn phí khám và tư vấn nhé hiện tại mình vừa tiêm vacxin astrazeneca đến ngày thứ 4 bị nổi vài vết mẫn ngứa ở tay không biết có nguy hiểm không và xử lý như thế nào chỉ giúp mình với chào bạn theo hướng dẫn tự theo dõi sức khỏe sau tiêm vaccine phòng covid 19 của bộ y tế nếu trên da thấy có phát ban hoặc nổi mẩn đỏ hoặc tím tái hoặc đỏ da hoặc chảy máu xuất huyết dưới da thì cần liên hệ với đội cấp cứu lưu động hoặc đến thẳng các bệnh viện để được thăm khám và xử trí,O O O O O O O O O O O COMMA O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O PERIOD O O O O O QUESTION O O O O O QUESTION O O O PERIOD O COMMA O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O COMMA O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD,,
test_002010,test,"Chào bạn, xạ trị là phương pháp điều trị ung thư bằng cách dùng các chất phóng xạ tác động vào khu vực có tế bào ung thư. Xạ trị chỉ tác động trực tiếp lên các tế bào ung thư ngay tại vùng xạ trị mà không ảnh hưởng tới các vị trí khác trong cơ thể. Mặc dù vậy, tia xạ có thể gây viêm, xơ các mô lành xung quanh, các tổn thương này có thể không mất đi ngay cả sau khi kết thúc xạ trị. Trường hợp này bạn nên đưa vợ tái khám chuyên khoa ung bướu để xem lại kết quả siêu âm và sinh thiết. Với kết quả này không nghĩ là do ung thư tái phát nhưng cần đánh giá trực tiếp bởi bs chuyên khoa bạn nhé. Thân mến.",chào bạn xạ trị là phương pháp điều trị ung thư bằng cách dùng các chất phóng xạ tác động vào khu vực có tế bào ung thư xạ trị chỉ tác động trực tiếp lên các tế bào ung thư ngay tại vùng xạ trị mà không ảnh hưởng tới các vị trí khác trong cơ thể mặc dù vậy tia xạ có thể gây viêm xơ các mô lành xung quanh các tổn thương này có thể không mất đi ngay cả sau khi kết thúc xạ trị trường hợp này bạn nên đưa vợ tái khám chuyên khoa ung bướu để xem lại kết quả siêu âm và sinh thiết với kết quả này không nghĩ là do ung thư tái phát nhưng cần đánh giá trực tiếp bởi bs chuyên khoa bạn nhé thân mến,O COMMA O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O COMMA O O O O O COMMA O O O O O COMMA O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O PERIOD O PERIOD,,
test_002100,test,"Ghẻ là bệnh do một loài chân đốt gây ra gọi là cái ghẻ. Cái ghẻ thường đào đường hầm vào ban đêm do đó người bệnh ngứa nhiều nhất là về đêm. Ở người trưởng thành và trẻ lớn, ghẻ thường xuất hiện ở kẽ ngón tay, các nếp gấp ở cổ tay, vùng khuỷu tay bên trong, lòng bàn chân, trong nách, lưng, mông, vùng quanh vú, xung quanh bộ phận sinh dục nam còn trẻ sơ sinh và trẻ nhỏ, vị trí nhiễm thường da đầu, mặt, cổ, lòng bàn tay, lòng bàn chân. Nếu không được phát hiện và điều trị sớm bệnh có thể lan toàn cơ thể. Cần khám bác sĩ chuyên khoa để được kê thuốc đặc trị và tuân thủ, kết hợp vệ sinh thân thể, môi trường sống thì bệnh mới khỏi. Tổ đỉa là bệnh dị ứng của da.",ghẻ là bệnh do một loài chân đốt gây ra gọi là cái ghẻ cái ghẻ thường đào đường hầm vào ban đêm do đó người bệnh ngứa nhiều nhất là về đêm ở người trưởng thành và trẻ lớn ghẻ thường xuất hiện ở kẽ ngón tay các nếp gấp ở cổ tay vùng khuỷu tay bên trong lòng bàn chân trong nách lưng mông vùng quanh vú xung quanh bộ phận sinh dục nam còn trẻ sơ sinh và trẻ nhỏ vị trí nhiễm thường da đầu mặt cổ lòng bàn tay lòng bàn chân nếu không được phát hiện và điều trị sớm bệnh có thể lan toàn cơ thể cần khám bác sĩ chuyên khoa để được kê thuốc đặc trị và tuân thủ kết hợp vệ sinh thân thể môi trường sống thì bệnh mới khỏi tổ đỉa là bệnh dị ứng của da,O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O PERIOD O O O O O O COMMA O O O O O O O COMMA O O O O O COMMA O O O O COMMA O O COMMA O COMMA COMMA COMMA O O COMMA O O O O O O O O O O O O O COMMA O O O O O COMMA COMMA COMMA O O COMMA O O PERIOD O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O COMMA O O O O O COMMA O O O O O O PERIOD O O O O O O O PERIOD,,
test_002863,test,"Nên nội soi kiểm tra lại sau khoảng 1-3 năm tùy vào yếu tố nguy cơ do bác sĩ điều trị đánh giá bạn nhé. Thân mến. Chào bác sĩ. Mẹ tôi năm nay 84 tuổi, bị hẹp đĩa đệm l5-s1. Mẹ tôi bị đau đĩa đệm 15 ngày uống thuốc không đỡ. Mong bác sĩ tư vấn người cao tuổi bị hẹp đĩa đệm uống thuốc không khỏi phải làm sao? Tôi xin chân thành cảm ơn. Chào chú. Không biết mẹ chú bị hẹp đĩa đệm nặng hay nhẹ. Nếu người cao tuổi bị hẹp đĩa đệm uống thuốc không khỏi thông thường không được chỉ định phẫu thuật thì sẽ tiêm thấm corticoid ngoài màng cứng. Chú nên đưa mẹ đến có sở y tế uy tín hoặc một trong các bệnh viện thuộc hệ thống y tế vinmec để được thăm khám.",nên nội soi kiểm tra lại sau khoảng 1-3 năm tùy vào yếu tố nguy cơ do bác sĩ điều trị đánh giá bạn nhé thân mến chào bác sĩ mẹ tôi năm nay 84 tuổi bị hẹp đĩa đệm l5-s1 mẹ tôi bị đau đĩa đệm 15 ngày uống thuốc không đỡ mong bác sĩ tư vấn người cao tuổi bị hẹp đĩa đệm uống thuốc không khỏi phải làm sao tôi xin chân thành cảm ơn chào chú không biết mẹ chú bị hẹp đĩa đệm nặng hay nhẹ nếu người cao tuổi bị hẹp đĩa đệm uống thuốc không khỏi thông thường không được chỉ định phẫu thuật thì sẽ tiêm thấm corticoid ngoài màng cứng chú nên đưa mẹ đến có sở y tế uy tín hoặc một trong các bệnh viện thuộc hệ thống y tế vinmec để được thăm khám,O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O PERIOD O O PERIOD O O O O O COMMA O O O O PERIOD O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O QUESTION O O O O O PERIOD O PERIOD O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD,,
test_005586,test,"Trong thời gian chờ lành xương, bệnh nhân nên kiêng xách vật nặng vì xương đòn là phần nối giữa toàn bộ thân người và tay, khi xách vật nặng sẽ kéo phần vai xuống, dễ di lệch chỗ gãy hơn. Ngoài ra, về gãy xương đòn, ít để lại di chứng nên không bắt buộc bệnh nhân phải tập vật lý trị liệu. Chủ yếu bệnh nhân nên tập khớp vai, tránh bị cứng khớp vai do lâu ngày không cử động. Vì vậy, các bác sĩ thường khuyên bệnh nhân nên vận động trễ hơn, sau phẫu thuật từ 2-3 tháng khi có dấu hiệu của can xương. Thân mến. Dạ, xin chào bác sĩ. Mẹ em năm nay 55 tuổi có triệu chứng đau đầu căng cơ. Xin hỏi bác sĩ có nguy hiểm không và nên dùng thuốc gì để điều trị ạ?",trong thời gian chờ lành xương bệnh nhân nên kiêng xách vật nặng vì xương đòn là phần nối giữa toàn bộ thân người và tay khi xách vật nặng sẽ kéo phần vai xuống dễ di lệch chỗ gãy hơn ngoài ra về gãy xương đòn ít để lại di chứng nên không bắt buộc bệnh nhân phải tập vật lý trị liệu chủ yếu bệnh nhân nên tập khớp vai tránh bị cứng khớp vai do lâu ngày không cử động vì vậy các bác sĩ thường khuyên bệnh nhân nên vận động trễ hơn sau phẫu thuật từ 2-3 tháng khi có dấu hiệu của can xương thân mến dạ xin chào bác sĩ mẹ em năm nay 55 tuổi có triệu chứng đau đầu căng cơ xin hỏi bác sĩ có nguy hiểm không và nên dùng thuốc gì để điều trị ạ,O O O O O COMMA O O O O O O O O O O O O O O O O O O O COMMA O O O O O O O O COMMA O O O O O PERIOD O COMMA O O O COMMA O O O O O O O O O O O O O O O O PERIOD O O O O O O O COMMA O O O O O O O O O O PERIOD O COMMA O O O O O O O O O O O COMMA O O O O O O O O O O O O PERIOD O PERIOD COMMA O O O PERIOD O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O QUESTION,,
test_006137,test,"Việc quan sát nước ối trước đây hay sử dụng như kính soi qua cổ tử cung mở, hoặc có thể soi màu sắc nước ối. Khi chuyển dạ có tình trạng tia ối hoặc rỉ ối cũng có thể biết màu sắc nước ối để đánh giá tình trạng thai nhi. Thân mến. Chào bác sĩ. Bé nhà em được 4 tuổi, răng cửa của cháu đã mòn vào gần lợi rồi. Bác sĩ cho em hỏi có cần phải đi nhổ để răng vĩnh viễn mọc lên không ạ? Nếu không phải nhổ thì răng vĩnh viễn có mọc lệch không ạ? Cảm ơn bác sĩ. Chào bạn. Theo như bạn mô tả thì rất có thể bé bị sún răng cửa. Nếu răng sún không có hiện tượng đau sưng thì không cần nhổ, chỉ cần vệ sinh sạch sẽ.",việc quan sát nước ối trước đây hay sử dụng như kính soi qua cổ tử cung mở hoặc có thể soi màu sắc nước ối khi chuyển dạ có tình trạng tia ối hoặc rỉ ối cũng có thể biết màu sắc nước ối để đánh giá tình trạng thai nhi thân mến chào bác sĩ bé nhà em được 4 tuổi răng cửa của cháu đã mòn vào gần lợi rồi bác sĩ cho em hỏi có cần phải đi nhổ để răng vĩnh viễn mọc lên không ạ nếu không phải nhổ thì răng vĩnh viễn có mọc lệch không ạ cảm ơn bác sĩ chào bạn theo như bạn mô tả thì rất có thể bé bị sún răng cửa nếu răng sún không có hiện tượng đau sưng thì không cần nhổ chỉ cần vệ sinh sạch sẽ,O O O O O O O O O O O O O O O O O COMMA O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O PERIOD O O PERIOD O O O O O COMMA O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O QUESTION O O O O O O O O O O O O QUESTION O O O PERIOD O PERIOD O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O COMMA O O O O O PERIOD,,
test_006850,test,"Chào bs, tôi năm nay 24 tuổi, bị gãy xương chày và xương mác, bs đã mổ nẹp xương chày nhưng do chụp xquang không kỹ nên tới hôm nay 2 tháng sau ngày mổ kiểm tra lại thì còn 1 xương mác bị gãy chéo. Vậy trong trường hợp này tôi phải làm sao, mong bs tư vấn giúp. Chào bạn, xương mác là một xương dài, ở ngoài cẳng chân, mảnh khảnh, là một xương phụ vì thế người ta có thể lấy bỏ 2/3 trên xương mác cũng không ảnh hưởng đến chức năng của chi dưới. Xương mác rất dễ liền xương vì thế khi gãy cả 2 xương cẳng chân, xương mác thường liền xương trước và sự liền xương này lại cản trở đến sự liền xương của xương chày.",chào bs tôi năm nay 24 tuổi bị gãy xương chày và xương mác bs đã mổ nẹp xương chày nhưng do chụp xquang không kỹ nên tới hôm nay 2 tháng sau ngày mổ kiểm tra lại thì còn 1 xương mác bị gãy chéo vậy trong trường hợp này tôi phải làm sao mong bs tư vấn giúp chào bạn xương mác là một xương dài ở ngoài cẳng chân mảnh khảnh là một xương phụ vì thế người ta có thể lấy bỏ 2/3 trên xương mác cũng không ảnh hưởng đến chức năng của chi dưới xương mác rất dễ liền xương vì thế khi gãy cả 2 xương cẳng chân xương mác thường liền xương trước và sự liền xương này lại cản trở đến sự liền xương của xương chày,O COMMA O O O O COMMA O O O O O O COMMA O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O COMMA O O O O PERIOD O COMMA O O O O O COMMA O O O COMMA O COMMA O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O COMMA O O O O O O O O O O O O O O O O O O O O PERIOD,,
test_006925,test,"-thư giãn tinh thần, hạn chế stress. -tuyệt đối không sử dụng rượu, cà phê, thuốc lá. -tạo không gian sạch sẽ, thoáng mát, hạn chế ánh sáng, tiếng ồn để có một giấc ngủ ngon, tránh những bất thường trong giấc ngủ. -nếu đang sử dụng thuốc mà tác dụng phụ của thuốc gây nghiến răng thì nên ngưng thuốc hoặc sử dụng các loại thuốc khác. Thân mến tôi bị dị ứng hải sản nhẹ thì có được tiêm ngừa vắc xin covid-19 không? Xin cảm ơn. Bạn thân mến, theo hướng dẫn sàng lọc trước tiêm chủng vắc xin phòng covid-19 của bộ y tế, những trường hợp có tiền sử dị ứng nặng phản vệ từ độ 2 trở lên do mọi nguyên nhân đều không được chỉ định tiêm vắc xin phòng covid-19.",-thư giãn tinh thần hạn chế stress -tuyệt đối không sử dụng rượu cà phê thuốc lá -tạo không gian sạch sẽ thoáng mát hạn chế ánh sáng tiếng ồn để có một giấc ngủ ngon tránh những bất thường trong giấc ngủ -nếu đang sử dụng thuốc mà tác dụng phụ của thuốc gây nghiến răng thì nên ngưng thuốc hoặc sử dụng các loại thuốc khác thân mến tôi bị dị ứng hải sản nhẹ thì có được tiêm ngừa vắc xin covid-19 không xin cảm ơn bạn thân mến theo hướng dẫn sàng lọc trước tiêm chủng vắc xin phòng covid-19 của bộ y tế những trường hợp có tiền sử dị ứng nặng phản vệ từ độ 2 trở lên do mọi nguyên nhân đều không được chỉ định tiêm vắc xin phòng covid-19,O O O COMMA O O PERIOD O O O O O COMMA O COMMA O PERIOD O O O O COMMA O COMMA O O O COMMA O O O O O O O COMMA O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O QUESTION O O PERIOD O O COMMA O O O O O O O O O O O O O O O COMMA O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD,,
test_007297,test,"Cắt móng chân sẽ giúp ngăn ngừa tình trạng chín mé do mang giày quá chật chào em, tổn thương ở khóe móng của em được gọi là chín mé. Nguyên nhân thường do nhiễm trùng vùng khóe móng, do chăm sóc móng không đúng cách cắt khóe sâu, hoặc mang giày quá chật. Nếu chín mé làm mủ thì cần tới bệnh viện gần nơi ở để rạch thoát mủ, kết hợp dùng kháng sinh. Khi vết thương sưng đau nhiều, đáp ứng kém với điều trị thì cần chụp xquang để xác định tình trạng biến chứng của chín mé. Để phòng ngừa tái phát, khi cắt móng cần lưu ý không cắt quá sát vào da, không lấy khóe sâu, không cắt móng tròn, nên tránh mang giày quá chật và nên giữ cho chân khô thoáng tránh ẩm ướt, hóa chất em nhé.",cắt móng chân sẽ giúp ngăn ngừa tình trạng chín mé do mang giày quá chật chào em tổn thương ở khóe móng của em được gọi là chín mé nguyên nhân thường do nhiễm trùng vùng khóe móng do chăm sóc móng không đúng cách cắt khóe sâu hoặc mang giày quá chật nếu chín mé làm mủ thì cần tới bệnh viện gần nơi ở để rạch thoát mủ kết hợp dùng kháng sinh khi vết thương sưng đau nhiều đáp ứng kém với điều trị thì cần chụp xquang để xác định tình trạng biến chứng của chín mé để phòng ngừa tái phát khi cắt móng cần lưu ý không cắt quá sát vào da không lấy khóe sâu không cắt móng tròn nên tránh mang giày quá chật và nên giữ cho chân khô thoáng tránh ẩm ướt hóa chất em nhé,O O O O O O O O O O O O O O O O O COMMA O O O O O O O O O O O PERIOD O O O O O O O O COMMA O O O O O O O O O COMMA O O O O PERIOD O O O O O O O O O O O O O O O O COMMA O O O O PERIOD O O O O O COMMA O O O O O O O O O O O O O O O O O O O PERIOD O O O O COMMA O O O O O O O O O O O COMMA O O O COMMA O O O COMMA O O O O O O O O O O O O O O O COMMA O O O PERIOD,,
test_012143,test,"Con bị như thế này bao lâu rồi? Bị mấy tuần rồi ạ em chờ cho các nốt tự lặn nhưng mãi thấy không mất đi ở mặt con có bị không em? Gửi anh mặt con cho bs nữa nhé. Mặt bé như này ạ hiện tại thì mặt bé đã đỡ hơn trong hình nhưng vẫn còn bác sĩ như hiện tại bé rõ tình trạng viêm da và có thể nhiễm nấm da vùng cổ. Em đặt lịch khám trực tiếp với bs để bs hỏi kỹ hơn và tư vấn cho con nhé. Khám miễn phí em nhé. Dạ, em cám ơn bác sĩ năm 14 t. E có nổi một cục hạch ở xương quai hàm trái. Hạch to hơn hạt đậu một xíu, cứng và ko đau, có thể di chuyển.",con bị như thế này bao lâu rồi bị mấy tuần rồi ạ em chờ cho các nốt tự lặn nhưng mãi thấy không mất đi ở mặt con có bị không em gửi anh mặt con cho bs nữa nhé mặt bé như này ạ hiện tại thì mặt bé đã đỡ hơn trong hình nhưng vẫn còn bác sĩ như hiện tại bé rõ tình trạng viêm da và có thể nhiễm nấm da vùng cổ em đặt lịch khám trực tiếp với bs để bs hỏi kỹ hơn và tư vấn cho con nhé khám miễn phí em nhé dạ em cám ơn bác sĩ năm 14 t e có nổi một cục hạch ở xương quai hàm trái hạch to hơn hạt đậu một xíu cứng và ko đau có thể di chuyển,O O O O O O O QUESTION O O O O O O O O O O O O O O O O O O O O O O O O QUESTION O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O PERIOD O O O O PERIOD COMMA O O O O O O O PERIOD O O O O O O O O O O PERIOD O O O O O O COMMA O O O COMMA O O O PERIOD,,
