gold_label,predicted_label,count,share_of_all_errors,meaning,representative_examples
COMMA,O,4844,0.275352,bỏ sót dấu phẩy — hai mệnh đề bị dính vào nhau,"… sách báo thấy mình giống sỏi **thận**[gold=COMMA',' pred=O''] trong khi bs bảo bình thường. … ||| … đến viêm thận mãn hoặc suy **thận**[gold=COMMA',' pred=O''] gây nguy hiểm và điều trị … ||| … gối lành lại. trong giai đoạn **này**[gold=COMMA',' pred=O''] bạn cần khám chuyên khoa để …"
O,COMMA,4342,0.246817,thêm dấu phẩy thừa — chèn ranh giới mệnh đề không có thật,"… nhưng nếu bị viêm đường tiết **niệu**[gold=O'' pred=COMMA','] bạn nên đi làm xét nghiệm … ||| … ích mẫu thì xuống được 40 **ngày**[gold=O'' pred=COMMA','] nhưng dừng thuốc thì lại dài … ||| … những người có cơ địa dị **ứng**[gold=O'' pred=COMMA','] điều trị hết là khó khăn."
COMMA,PERIOD,2134,0.121305,cắt câu quá mạnh — đáng lẽ chỉ là dấu phẩy,"… trắng đục đục như nước vo **gạo**[gold=COMMA',' pred=PERIOD'.'] sau mỗi lần đi là tôi … ||| … niệu để có chuẩn đoán chính **xác**[gold=COMMA',' pred=PERIOD'.'] lúc đó bạn phải điều trị … ||| … trái và được kê thuốc nhỏ **mắt**[gold=COMMA',' pred=PERIOD'.'] sau khi nhỏ thuốc cho mắt …"
O,PERIOD,1967,0.111812,chấm câu quá sớm — một câu bị chẻ đôi,… địa phương để chứng minh sự **việc**[gold=O'' pred=PERIOD'.'] tôi thỉnh thoảng hay đi tiểu … ||| … để xác định thời điểm thích **hợp**[gold=O'' pred=PERIOD'.'] có thể tập vật lý trị … ||| … thuốc mát gan nhưng mãi ko **hết**[gold=O'' pred=PERIOD'.'] vậy xin hỏi bs là tôi …
PERIOD,COMMA,1567,0.089075,kết thúc câu quá yếu — hai câu bị nối thành câu ghép,"… bạn phải điều trị tích cực **ngay**[gold=PERIOD'.' pred=COMMA','] nếu để tình trạng này kéo … ||| … đi lại, sinh hoạt nhẹ nhàng **được**[gold=PERIOD'.' pred=COMMA','] với các hoạt động nặng hơn … ||| … mình là ai, hỏi cũng không **nói**[gold=PERIOD'.' pred=COMMA','] mặt ngơ ngác, khóc, đi qua …"
PERIOD,O,1466,0.083333,bỏ sót dấu chấm — hai câu bị nhập làm một (run-on),"… đó chích 2 mũi vaccine covid **rồi**[gold=PERIOD'.' pred=O''] nhunge k có giấy tờ chứng … ||| … bạn nhé. thân mến. bác sĩ **ơi**[gold=PERIOD'.' pred=O''] cháu nhà em thường có biểu … ||| … ngơ ngác, khóc, đi qua đi **lại**[gold=PERIOD'.' pred=O''] nhưng sau khi đi tiểu xong …"
O,QUESTION,343,0.019497,thêm dấu hỏi thừa — biến câu trần thuật thành câu hỏi,"… liệu có bị di căn không **ạ**[gold=O'' pred=QUESTION'?'] chưa sinh thiết. ||| … hỏi bs là con bị làm **sao**[gold=O'' pred=QUESTION'?'] xin cảm ơn bs chào bạn, … ||| … vậy cháu có bị sao không **ạ**[gold=O'' pred=QUESTION'?'] và chứng són đái và són …"
PERIOD,QUESTION,327,0.018588,PERIOD bị dự đoán thành QUESTION,… cháu nhà em bị bệnh gì **ạ**[gold=PERIOD'.' pred=QUESTION'?'] mong bs tư vấn giúp ạ … ||| … các yếu tố tiếp xúc hay **không**[gold=PERIOD'.' pred=QUESTION'?'] đối với những người có cơ … ||| … thì phải xử lý như thế **nào**[gold=PERIOD'.' pred=QUESTION'?']
QUESTION,O,233,0.013245,mất hẳn câu hỏi — lỗi nghiêm trọng nhất về mặt ngữ nghĩa,… bé sơ sinh như thế nào **ạ**[gold=QUESTION'?' pred=O''] với dùng cồn gì ạ? - … ||| … tiêu khi áp dụng lowcarb k **ạ**[gold=QUESTION'?' pred=O''] đúng là chế độ giảm cân … ||| … vậy thì làm sao phân biệt **ạ**[gold=QUESTION'?' pred=O''] chào bác hiện tại bác có …
COMMA,QUESTION,173,0.009834,COMMA bị dự đoán thành QUESTION,"… hỏi bs là tôi bị bệnh **gì**[gold=COMMA',' pred=QUESTION'?'] triệu chứng của bệnh là ngứa … ||| … dậy người rất mệt thưa bs **thanh**[gold=COMMA',' pred=QUESTION'?'] trẻ có thể chịu đựng bao … ||| … có thể tiêm vaccine covid không **ạ**[gold=COMMA',' pred=QUESTION'?'] do tôi đọc thấy các triệu …"
QUESTION,PERIOD,142,0.008072,QUESTION bị dự đoán thành PERIOD,"… có con. tôi không biết thế **nào**[gold=QUESTION'?' pred=PERIOD'.'] bác sĩ có thể tư vấn … ||| … trẻ em có cần điều trị **không**[gold=QUESTION'?' pred=PERIOD'.'] chúc bé luôn có sức khỏe … ||| … là có gây sốt, đau hay **không**[gold=QUESTION'?' pred=PERIOD'.']"
QUESTION,COMMA,54,0.00307,QUESTION bị dự đoán thành COMMA,"… như vậy có ảnh hưởng gì **không**[gold=QUESTION'?' pred=COMMA','] thời gian sống được bao lâu … ||| … ý xem rốn có mùi hôi **không**[gold=QUESTION'?' pred=COMMA','] lau rốn sạch bằng gòn và … ||| … em dùng được bao nhiêu ngày **rồi**[gold=QUESTION'?' pred=COMMA','] tiến triển ra sao?"
